symbol	agi	ensembl_symbol	description
BHLH38	AT3G56970	bHLH38	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
BHLH39	AT3G56980	bHLH39	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
NAS4	AT1G56430	NAS4	nicotianamine synthase 4
FER1	AT5G01600	FER1	ferretin 1
FER4	AT2G40300	FER4	ferritin 4
FRO3	AT1G23020	FRO3	ferric reduction oxidase 3
ZIP1	AT3G12750	ZIP1	zinc transporter 1
SULTR1;1	AT4G08620	SULTR1;1	sulfate transporter 1;1
SULTR1;2	AT1G78000	SULTR1;2	sulfate transporter 1;2
SULTR2;1	AT5G10180	SULTR2;1	slufate transporter 2;1
APR1	AT4G04610	APR1	APS reductase 1
APR2	AT1G62180	APR2	5'adenylylphosphosulfate reductase 2
APR3	AT4G21990	APR3	APS reductase 3
APS1	AT3G22890	APS1	ATP sulfurylase 1
SIR	AT5G04590	SIR	sulfite reductase
OASA1	AT4G14880	OASA1	O-acetylserine (thiol) lyase (OAS-TL) isoform A1
SAT1	AT1G55920	SERAT2;1	serine acetyltransferase 2;1
CCA1	AT2G46830	CCA1	circadian clock associated 1
LHY	AT1G01060	LHY	Homeodomain-like superfamily protein
TOC1	AT5G61380	TOC1	CCT motif -containing response regulator protein
GI	AT1G22770	GI	gigantea protein (GI)
PRR5	AT5G24470	PRR5	two-component response regulator-like protein
PRR7	AT5G02810	PRR7	pseudo-response regulator 7
PRR9	AT2G46790	PRR9	pseudo-response regulator 9
ELF3	AT2G25930	ELF3	hydroxyproline-rich glycoprotein family protein
ELF4	AT2G40080	ELF4	EARLY FLOWERING-like protein (DUF1313)
FLC	AT5G10140	FLC	K-box region and MADS-box transcription factor family protein
SOC1	AT2G45660	AGL20	AGAMOUS-like 20
PIN1	AT1G73590	PIN1	Auxin efflux carrier family protein
PIN2	AT5G57090	EIR1	Auxin efflux carrier family protein
PIN3	AT1G70940	PIN3	Auxin efflux carrier family protein
AUX1	AT2G38120	AUX1	Transmembrane amino acid transporter family protein
TIR1	AT3G62980	TIR1	F-box/RNI-like superfamily protein
ARF7	AT5G20730	NPH4	Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-like protein
GA20OX1	AT4G25420	GA20OX1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
RGA	AT2G01570	RGA1	GRAS family transcription factor family protein
GAI	AT1G14920	GAI	GRAS family transcription factor family protein
