locus,log2FoldChange
AT1G13609,0.44000
AT1G13640,0.00000
AT1G13755,-0.10000
AT1G14100,0.19000
AT1G14185,0.20667
AT1G14205,-0.36667
AT1G14260,-0.08333
AT1G14320,-0.31167
AT1G14370,-0.26333
AT1G14686,-0.30333
AT1G14760,-0.09667
AT1G14920,-0.85667
AT1G15110,0.19000
AT1G15150,-0.04333
AT1G15430,-0.13667
AT1G15550,-0.10667
AT1G15610,-0.11667
AT1G15620,-0.01667
AT1G15690,0.04500
AT1G15720,-0.06667
AT1G15825,0.41667
AT1G15910,-0.04833
AT1G15980,0.02333
AT1G16010,0.15500
AT1G16270,-0.07500
AT1G16280,0.21333
AT1G16400,-0.33333
AT1G16570,-0.03500
AT1G16680,0.01333
AT1G16700,0.16667
AT1G16740,-0.20667
AT1G16940,-0.15000
AT1G16950,0.31333
AT1G17200,-0.11667
AT1G17380,-0.10333
AT1G17470,0.02667
AT1G17500,0.94667
AT1G17510,-0.39000
AT1G17800,-0.12333
AT1G17830,-0.18667
AT1G18075,0.79333
AT1G18170,0.29000
AT1G18300,-0.00000
AT1G18500,0.07000
AT1G18650,-0.02667
AT1G18760,-0.02667
AT1G18940,0.19333
AT1G18990,-0.05000
AT1G19130,-0.16333
AT1G19310,-0.07667
AT1G19450,0.00000
AT1G19460,0.11667
AT1G19520,0.19000
AT1G19570,0.07000
AT1G19740,0.23667
AT1G19830,-0.03333
AT1G19860,0.42333
AT1G19900,-0.11000
AT1G19920,0.08667
AT1G19970,0.41500
AT1G20020,-0.10667
AT1G20090,0.20667
AT1G20140,-0.12000
AT1G20160,-0.05667
AT1G20330,0.15167
AT1G20340,0.07333
AT1G20370,-0.00667
AT1G20480,-0.09500
AT1G20510,0.09333
AT1G20620,0.12000
AT1G20630,-0.32333
AT1G20690,-0.02000
AT1G20801,-0.07667
AT1G20816,0.27667
AT1G20870,0.07333
AT1G20960,0.01000
AT1G21050,-0.43333
AT1G21230,0.83333
AT1G21323,-0.11667
AT1G21380,-0.07333
AT1G21520,0.41333
AT1G21525,-0.06000
AT1G21580,0.04500
AT1G21610,-0.32833
AT1G21980,0.09333
AT1G22310,-0.03667
AT1G22403,-0.07667
AT1G22470,-0.01000
AT1G22480,0.08333
AT1G22610,-0.19667
AT1G22770,0.17667
AT1G22840,-0.25667
AT1G23020,-0.06000
AT1G23074,0.23000
AT1G23145,0.39000
AT1G23147,-0.34000
AT1G23170,0.27667
AT1G23340,0.13000
AT1G23360,0.24000
AT1G23790,0.04333
AT1G23840,0.03333
AT1G24030,0.30667
AT1G24050,-0.15500
AT1G24370,-0.00333
AT1G24388,0.17333
AT1G24470,-0.53667
AT1G24764,-0.01667
AT1G24822,0.02333
AT1G25053,0.08167
AT1G25180,-0.11333
AT1G25420,-0.03000
AT1G25510,0.37333
AT1G26190,-0.16667
AT1G26350,0.03000
AT1G26360,0.07000
AT1G26370,0.16000
AT1G26440,-1.11667
AT1G26558,-0.20833
AT1G26640,-0.35333
AT1G26770,0.38833
AT1G26830,-0.16667
AT1G27100,0.25667
AT1G27340,-0.06000
AT1G27380,0.16333
AT1G27430,0.04667
AT1G27435,-0.29333
AT1G27550,-0.07667
AT1G27630,-0.23500
AT1G27670,-0.16000
AT1G27690,0.09333
AT1G27710,0.24000
AT1G27860,-0.15333
AT1G27990,0.06500
AT1G28000,-0.21667
AT1G28010,0.19000
AT1G28120,0.11667
AT1G28260,0.18833
AT1G28520,-0.06000
AT1G29020,-0.47000
AT1G29179,0.08500
AT1G29310,-1.19000
AT1G29395,0.00667
AT1G29550,-0.09667
AT1G29610,0.51333
AT1G29690,-0.11667
AT1G29724,-0.23000
AT1G29770,-0.19333
AT1G29785,-0.29000
AT1G29800,-0.31000
AT1G29962,0.05667
AT1G30020,-0.09000
AT1G30110,-0.03000
AT1G30230,0.08000
AT1G30520,-0.09667
AT1G30700,-0.04000
AT1G31130,-0.17167
AT1G31300,0.77667
AT1G31630,0.03000
AT1G31750,-0.06000
AT1G32240,-0.07333
AT1G32270,0.30667
AT1G32350,0.04833
AT1G32580,-0.17000
AT1G32920,-0.02667
AT1G32930,0.11667
AT1G32992,-0.11333
AT1G33140,-0.20500
AT1G33160,0.06000
AT1G33230,0.06500
AT1G33240,-0.12667
AT1G33380,0.10667
AT1G33460,-0.95667
AT1G33640,-0.26667
AT1G33960,-1.15000
AT1G34020,0.12000
AT1G34042,0.50000
AT1G34110,-0.14167
AT1G34130,-0.05333
AT1G34290,0.22333
AT1G34370,-0.10333
AT1G34419,-0.49667
AT1G34440,-0.15333
AT1G34770,-0.50000
AT1G34810,-0.22500
AT1G35430,0.03000
AT1G35460,-0.05333
AT1G35470,0.68667
AT1G35480,-0.11333
AT1G35500,0.57667
AT1G35610,0.42000
AT1G35620,-0.09667
AT1G35730,0.05333
AT1G36740,0.09333
AT1G36980,-0.03667
AT1G37010,0.16333
AT1G37063,-0.26333
AT1G37471,0.18000
AT1G42080,-0.12000
AT1G42377,-0.13167
AT1G43180,0.23667
AT1G43667,-0.22667
AT1G43675,-0.20000
AT1G43730,0.02333
AT1G43895,0.03333
AT1G44130,-0.14000
AT1G44641,0.03333
AT1G44780,0.04333
AT1G44820,0.22500
AT1G44960,0.17000
AT1G45170,0.59333
AT1G45223,-0.00833
AT1G45688,-0.05333
AT1G45904,0.05000
AT1G47240,-0.03667
AT1G47370,0.19833
AT1G47420,-0.04667
AT1G47480,0.71667
AT1G47590,0.15667
AT1G47603,0.18000
AT1G48095,-0.07333
AT1G48140,0.12333
AT1G48190,0.02667
AT1G48420,-0.06333
AT1G48530,0.03333
AT1G48598,-0.11000
AT1G48605,-0.30333
AT1G48800,0.04333
AT1G48953,0.01333
AT1G49210,-0.53667
AT1G49245,-0.03667
AT1G49320,0.24833
AT1G49400,-0.27000
AT1G49440,0.11333
AT1G49530,-0.37000
AT1G49710,-0.03667
AT1G49780,0.16333
AT1G49810,-1.03333
AT1G49970,0.22000
AT1G50110,0.00333
AT1G50320,0.40000
AT1G50340,0.05000
AT1G50410,-0.55000
AT1G50470,-0.03333
AT1G50490,-0.07333
AT1G50580,-0.40000
AT1G50670,0.08667
AT1G51030,0.12833
AT1G51390,0.43333
AT1G51480,0.04000
AT1G51700,0.10667
AT1G51760,-0.02667
AT1G51800,0.00667
AT1G52190,0.04500
AT1G52370,-0.20167
AT1G52390,-0.35000
AT1G52480,0.13667
AT1G52520,-0.65667
AT1G52810,-0.04667
AT1G53010,0.19667
AT1G53060,0.20667
AT1G53120,0.42000
AT1G53170,-0.01500
AT1G53240,0.60000
AT1G53280,0.53833
AT1G53330,0.94667
AT1G53490,0.28000
AT1G53640,0.13333
AT1G53705,-0.00167
AT1G53785,0.02667
AT1G53810,-0.02333
AT1G53920,-0.16000
AT1G53935,-1.12000
AT1G54215,-0.10333
AT1G54270,0.41667
AT1G54355,0.10667
AT1G54360,0.15667
AT1G54410,0.01333
AT1G54470,0.22667
AT1G54750,0.17667
AT1G55120,-0.02333
AT1G55220,-0.20000
AT1G55325,-0.06000
AT1G55340,-0.39333
AT1G55365,0.06333
AT1G55480,-0.38000
AT1G55770,-0.05000
AT1G55790,0.54000
AT1G55850,-0.39333
AT1G55890,0.00667
AT1G55900,0.05667
AT1G55910,0.10000
AT1G55920,0.46000
AT1G56050,-0.25000
AT1G56090,0.01000
AT1G56110,-0.14833
AT1G56430,-0.26000
AT1G56460,0.28333
AT1G57570,-0.00000
AT1G57590,0.10333
AT1G57630,-0.34667
AT1G57850,0.68667
AT1G58122,0.03333
AT1G58265,-0.20000
AT1G58290,-0.05000
AT1G59077,0.35333
AT1G59750,-0.07333
AT1G59800,0.15667
AT1G59830,0.05333
AT1G59870,0.06333
AT1G59910,0.37333
AT1G59920,0.06833
AT1G60150,-0.28667
AT1G60270,0.01667
AT1G60410,0.45000
AT1G60560,0.21667
AT1G60630,-0.15000
AT1G60700,0.46000
AT1G60750,0.01667
AT1G60900,0.02167
AT1G60950,-0.05000
AT1G60983,0.01333
AT1G61010,-0.44000
AT1G61120,0.09667
AT1G61255,-0.20667
AT1G61610,-0.67333
AT1G61650,-0.33333
AT1G61660,0.07500
AT1G61795,0.02833
AT1G62045,-0.03667
AT1G62180,-0.16000
AT1G62250,-0.13167
AT1G62320,-0.14000
AT1G62540,0.01833
AT1G62760,0.05333
AT1G62900,0.06000
AT1G63040,0.08667
AT1G63090,-0.07833
AT1G63300,-0.26667
AT1G63590,0.34333
AT1G63640,0.07500
AT1G63830,-0.40333
AT1G64070,-0.13333
AT1G64450,0.04333
AT1G64470,0.37333
AT1G64640,0.03000
AT1G64910,-0.03000
AT1G65070,-0.03667
AT1G65352,-0.00667
AT1G65385,0.00333
AT1G65550,-0.07000
AT1G65630,-0.45667
AT1G65880,0.01667
AT1G65940,0.11000
AT1G66220,0.47000
AT1G66330,-0.06667
AT1G66460,0.28833
AT1G66620,0.32500
AT1G66710,-1.06000
AT1G66870,-0.19333
AT1G66880,0.18000
AT1G66930,0.09000
AT1G67000,0.71333
AT1G67200,-0.21833
AT1G67490,-0.09333
AT1G67560,-0.10000
AT1G67610,-0.13667
AT1G67640,-0.12000
AT1G67660,0.20333
AT1G68100,-0.21500
AT1G68270,0.00500
AT1G68310,0.08000
AT1G68390,0.46000
AT1G68740,0.69000
AT1G68765,0.22000
AT1G68840,0.09667
AT1G69070,-0.14000
AT1G69100,0.00333
AT1G69295,0.05333
AT1G69420,0.03000
AT1G69490,-0.12500
AT1G69588,-0.15333
AT1G69640,-0.04833
AT1G69790,0.07000
AT1G69950,-0.01500
AT1G69970,-0.03333
AT1G70060,-0.03333
AT1G70120,-0.35000
AT1G70140,-0.23833
AT1G70350,-0.28667
AT1G70390,-0.28333
AT1G70460,-0.49333
AT1G70630,0.22000
AT1G70640,0.20000
AT1G70760,-0.03000
AT1G70920,0.32667
AT1G70940,-0.11667
AT1G71060,-0.22333
AT1G71080,-0.31000
AT1G71100,0.13333
AT1G71110,-0.22667
AT1G71340,0.49333
AT1G71410,-0.32667
AT1G71528,0.15333
AT1G71720,-0.23333
AT1G71810,0.11000
AT1G71830,-0.05000
AT1G71850,0.12000
AT1G71870,-0.17000
AT1G71900,0.17667
AT1G72030,0.06167
AT1G72170,0.08000
AT1G72340,-0.15333
AT1G72610,0.30167
AT1G72720,0.12667
AT1G72870,-0.05333
AT1G72930,-0.00667
AT1G73140,0.15000
AT1G73150,-0.04333
AT1G73200,-0.17167
AT1G73300,0.73500
AT1G73360,-0.09667
AT1G73430,-0.00167
AT1G73590,-0.27667
AT1G73680,-0.12667
AT1G73875,-0.27333
AT1G73890,-0.18667
AT1G74340,-0.21333
AT1G74470,-0.27667
AT1G74500,-0.05000
AT1G74640,0.13333
AT1G74790,-0.12833
AT1G75160,0.03333
AT1G75220,-0.26000
AT1G75430,0.33667
AT1G75540,-0.10000
AT1G76090,0.11500
AT1G76100,-0.25000
AT1G76130,-1.51667
AT1G76180,0.12667
AT1G76740,0.03667
AT1G76880,0.04667
AT1G77090,0.09667
AT1G77360,0.04667
AT1G77570,0.00333
AT1G77590,0.01667
AT1G77650,-0.01667
AT1G77710,0.41667
AT1G77740,0.06333
AT1G78000,0.34167
AT1G78140,0.25000
AT1G78270,0.48833
AT1G78430,0.25000
AT1G78630,-0.46500
AT1G78640,-0.09000
AT1G78750,-0.91667
AT1G78810,0.04833
AT1G78915,-0.31000
AT1G78995,-0.01333
AT1G79110,-0.17000
AT1G79200,0.04333
AT1G79270,0.42000
AT1G79310,0.07333
AT1G79400,-0.08667
AT1G79440,-0.31667
AT1G79470,-0.09000
AT1G79600,0.10667
AT1G80133,0.20667
AT1G80380,-0.26333
AT1G80400,0.00667
AT1G80420,-0.03500
AT1G80555,0.00833
AT1G80740,0.02833
AT1G80960,-0.00667
AT2G01280,0.34667
AT2G01410,0.03333
AT2G01450,0.01333
AT2G01570,-0.55333
AT2G01660,-0.16333
AT2G01670,0.36333
AT2G01690,0.04333
AT2G01780,-0.15000
AT2G01850,0.04000
AT2G02000,-0.05000
AT2G02090,0.06667
AT2G02160,-0.07000
AT2G02260,0.27667
AT2G02290,-0.13667
AT2G02440,0.16333
AT2G02630,-0.15000
AT2G02640,0.07667
AT2G02750,0.13167
AT2G02950,-0.13167
AT2G02955,0.11333
AT2G03000,-0.16000
AT2G03120,-0.07000
AT2G03200,0.10000
AT2G03410,0.39000
AT2G03420,-0.55000
AT2G03860,0.05000
AT2G03920,0.00333
AT2G04039,0.05333
AT2G04047,0.00667
AT2G04200,-0.11000
AT2G04220,-0.57333
AT2G04280,0.28667
AT2G04650,-0.04667
AT2G04690,-0.03333
AT2G04700,-0.04667
AT2G05250,-0.18500
AT2G05300,0.17333
AT2G05620,0.24167
AT2G05710,0.82500
AT2G05770,0.06333
AT2G05990,-0.08000
AT2G06080,0.16000
AT2G06170,-0.15333
AT2G06845,-0.37667
AT2G06940,-0.04000
AT2G07030,-0.19333
AT2G07521,0.12333
AT2G07669,-0.02333
AT2G07674,0.03000
AT2G07680,0.03667
AT2G07682,-0.16833
AT2G07694,-0.05000
AT2G07700,0.01000
AT2G07709,0.22167
AT2G07710,-0.02667
AT2G07711,0.16000
AT2G07739,0.03333
AT2G07741,-0.12333
AT2G09840,0.16667
AT2G10256,0.15667
AT2G10650,0.07667
AT2G10820,-0.18000
AT2G10895,-0.15667
AT2G10940,-0.03167
AT2G10980,0.11667
AT2G10990,0.03333
AT2G11000,0.33667
AT2G11630,-0.06333
AT2G11720,0.03667
AT2G11891,-0.25667
AT2G12190,-0.11167
AT2G12230,-0.10333
AT2G12325,-0.32000
AT2G12730,-0.17000
AT2G13143,-0.07333
AT2G13272,0.06667
AT2G13665,0.04333
AT2G13790,-0.20167
AT2G14280,-0.19333
AT2G14400,0.78667
AT2G14590,0.07000
AT2G14660,0.41333
AT2G14750,0.11667
AT2G14846,0.21333
AT2G14920,0.54667
AT2G14990,-0.17000
AT2G15000,0.19667
AT2G15045,-0.16333
AT2G15185,0.08667
AT2G15290,-0.04333
AT2G15350,0.07667
AT2G15470,-0.06667
AT2G15500,-0.05667
AT2G15620,0.08000
AT2G15810,-0.00333
AT2G15850,0.29667
AT2G16005,-0.07333
AT2G16015,-0.04333
AT2G16200,-0.09333
AT2G16340,0.10667
AT2G16365,0.10167
AT2G16380,0.05667
AT2G16405,0.10167
AT2G16505,-0.23333
AT2G16535,1.01333
AT2G16580,-0.23333
AT2G16650,-0.10000
AT2G16720,0.07333
AT2G16730,-0.46000
AT2G16780,-0.21000
AT2G16860,-0.07833
AT2G17130,0.30667
AT2G17350,1.49000
AT2G17430,0.49000
AT2G17690,0.13667
AT2G17710,0.16000
AT2G17750,-0.22667
AT2G17780,0.02000
AT2G17980,-0.07000
AT2G18040,-0.12000
AT2G18120,0.15333
AT2G18170,-0.28000
AT2G18193,0.07333
AT2G18330,0.03000
AT2G18380,-0.09833
AT2G18630,-0.17333
AT2G18750,0.16667
AT2G18790,-0.10667
AT2G19570,0.69000
AT2G19620,-0.19667
AT2G19760,-0.02333
AT2G20160,-0.07333
AT2G20250,-0.08167
AT2G20350,0.03667
AT2G20450,-0.27000
AT2G20520,-0.35833
AT2G20580,-0.10333
AT2G20610,-0.30667
AT2G20650,0.06500
AT2G20700,-0.53333
AT2G20790,0.05833
AT2G20800,0.12333
AT2G20818,-0.17000
AT2G20860,0.17333
AT2G20875,0.19333
AT2G21120,-0.04000
AT2G21300,0.24000
AT2G21440,-0.09667
AT2G21500,-0.03167
AT2G21790,-0.15000
AT2G21950,-0.19000
AT2G22200,-0.11000
AT2G22340,-0.09667
AT2G22640,0.09667
AT2G22670,-0.06333
AT2G22830,-1.15333
AT2G23140,0.11000
AT2G23150,0.18333
AT2G23170,-0.06000
AT2G23320,-0.04667
AT2G23348,0.06000
AT2G23920,0.01000
AT2G23985,0.01333
AT2G24020,-0.00667
AT2G24270,-0.27333
AT2G24300,0.24333
AT2G24630,0.21500
AT2G24834,0.23667
AT2G24860,0.79333
AT2G25070,-0.87333
AT2G25100,0.12667
AT2G25150,-0.21333
AT2G25410,-0.11833
AT2G25565,-0.06667
AT2G25605,-0.24000
AT2G25800,-0.22167
AT2G26060,-0.08000
AT2G26170,-0.09500
AT2G26280,-0.21333
AT2G26370,-0.02000
AT2G26850,-0.09000
AT2G26880,0.14667
AT2G27020,-0.06000
AT2G27030,0.07833
AT2G27040,0.07667
AT2G27190,0.30167
AT2G27280,-0.27000
AT2G27375,0.10333
AT2G27390,-0.01000
AT2G27480,-0.53000
AT2G27760,0.05667
AT2G27950,-0.15833
AT2G28070,-0.04667
AT2G28085,-0.06000
AT2G28160,0.04000
AT2G28190,0.10667
AT2G28240,0.12333
AT2G28305,0.20000
AT2G28460,0.24000
AT2G28850,0.00000
AT2G29220,0.02000
AT2G29300,-0.02000
AT2G29360,0.30667
AT2G29500,-0.15333
AT2G29590,-0.03333
AT2G29650,-0.14333
AT2G29860,0.21000
AT2G29920,-0.12000
AT2G29940,0.16000
AT2G29990,0.12333
AT2G30100,-0.04000
AT2G30580,-0.05000
AT2G30600,-0.34333
AT2G30630,0.40667
AT2G30640,-0.07000
AT2G30690,0.08000
AT2G30695,0.12167
AT2G30750,0.02333
AT2G30790,-0.08000
AT2G30890,-0.15667
AT2G31170,-0.14000
AT2G31280,-0.14833
AT2G31300,-0.07333
AT2G31390,0.01000
AT2G31720,-0.03333
AT2G31830,-0.22333
AT2G31860,0.12667
AT2G31930,0.04333
AT2G31955,-0.14000
AT2G32560,-0.15333
AT2G32600,0.03333
AT2G32740,0.01667
AT2G32788,-0.10667
AT2G32840,-0.09000
AT2G33880,0.09000
AT2G34040,-0.11667
AT2G34135,0.23667
AT2G34230,-0.08000
AT2G34320,0.01000
AT2G34640,-0.17333
AT2G34680,0.01333
AT2G34750,-0.10000
AT2G34760,-0.05000
AT2G34800,-0.23333
AT2G34860,0.51333
AT2G35030,0.12833
AT2G35075,-0.98333
AT2G35140,-0.03667
AT2G35300,0.41667
AT2G35310,-0.04667
AT2G35570,0.32667
AT2G35635,0.06500
AT2G35710,0.09333
AT2G35795,-0.16333
AT2G36170,-0.11833
AT2G36305,0.49000
AT2G36340,-0.28000
AT2G36400,-0.04333
AT2G36410,0.44000
AT2G36670,-0.06667
AT2G36760,-0.49167
AT2G37380,-0.49000
AT2G37480,0.07333
AT2G37550,-0.20000
AT2G38120,-0.23333
AT2G38230,0.00333
AT2G38300,-0.06833
AT2G38320,0.13333
AT2G38365,0.50333
AT2G38380,-0.06000
AT2G38630,-0.14000
AT2G38646,0.08000
AT2G38650,-0.01000
AT2G38910,0.08667
AT2G38920,-0.13333
AT2G38960,0.33500
AT2G39540,-0.11333
AT2G39570,-0.09667
AT2G39750,-0.24667
AT2G39770,-0.06167
AT2G39980,0.14667
AT2G40030,-0.07833
AT2G40080,0.28000
AT2G40113,-0.00667
AT2G40120,0.09833
AT2G40205,0.09667
AT2G40300,0.17167
AT2G40995,0.18000
AT2G41130,-0.15000
AT2G41178,0.44000
AT2G41290,0.02667
AT2G41750,0.56667
AT2G41800,0.07333
AT2G41940,0.04333
AT2G41980,0.15333
AT2G42000,0.04667
AT2G42170,0.10667
AT2G42340,-0.35333
AT2G43040,-0.16333
AT2G43400,-0.00333
AT2G43540,-0.02667
AT2G43580,-0.08333
AT2G43620,0.27667
AT2G43890,0.14000
AT2G43900,-0.40000
AT2G43910,-0.12333
AT2G44065,0.02500
AT2G44070,-0.00333
AT2G44350,0.06000
AT2G44500,-0.33333
AT2G44560,0.03333
AT2G44680,0.00667
AT2G44780,0.13000
AT2G44850,-0.00333
AT2G44970,0.05833
AT2G45000,-0.30000
AT2G45140,0.00000
AT2G45410,-0.11333
AT2G45450,0.32000
AT2G45490,0.03000
AT2G45640,0.02667
AT2G45660,-0.03667
AT2G45840,0.05000
AT2G46060,0.14000
AT2G46130,0.15333
AT2G46220,-0.02000
AT2G46230,-0.09000
AT2G46255,-0.11667
AT2G46375,-0.03667
AT2G46400,0.16500
AT2G46505,-0.03667
AT2G46530,-0.46000
AT2G46567,-0.02333
AT2G46660,0.18333
AT2G46740,-0.36667
AT2G46790,-0.11667
AT2G46830,0.02000
AT2G46840,-0.01667
AT2G46850,0.04667
AT2G47000,0.36333
AT2G47240,0.32667
AT2G47510,-0.01000
AT2G47530,0.42667
AT2G47670,-0.38000
AT2G47760,1.03667
AT2G47860,0.73333
AT2G48160,0.08667
AT3G01175,0.03333
AT3G01324,-0.10333
AT3G01360,0.02833
AT3G01472,0.07667
AT3G01480,-0.02167
AT3G01490,-0.00333
AT3G01516,-0.12667
AT3G01620,0.13000
AT3G01700,0.12500
AT3G01820,0.06833
AT3G01990,-0.06000
AT3G02380,-0.07333
AT3G02493,-0.07333
AT3G02540,0.50167
AT3G02650,0.32000
AT3G02690,-0.08667
AT3G02820,0.17000
AT3G02880,0.13000
AT3G02885,-0.10333
AT3G03200,-0.01667
AT3G03420,0.08333
AT3G03450,-0.04500
AT3G03700,0.10000
AT3G03850,-0.25667
AT3G03940,0.05167
AT3G04080,-0.37333
AT3G04310,-0.07333
AT3G04580,0.02333
AT3G04660,-0.54333
AT3G04850,0.07667
AT3G04900,-0.07667
AT3G05070,0.00667
AT3G05140,-0.31667
AT3G05480,0.03000
AT3G05685,-0.51000
AT3G05750,0.02000
AT3G06030,-0.30333
AT3G06050,-0.07167
AT3G06090,-0.12000
AT3G06210,-0.19000
AT3G06270,-0.13333
AT3G06430,-0.07667
AT3G06483,-0.56167
AT3G06580,-0.06333
AT3G06680,-0.03667
AT3G06868,-0.01333
AT3G06920,-0.48667
AT3G07070,0.30167
AT3G07120,0.02000
AT3G07310,-0.54833
AT3G07320,-0.20667
AT3G07480,0.03667
AT3G07530,0.22333
AT3G07590,-0.08000
AT3G07630,-0.02667
AT3G07800,0.31833
AT3G07840,-0.23333
AT3G07850,0.46333
AT3G07890,0.22667
AT3G07930,0.10667
AT3G08510,-0.19333
AT3G08670,-0.05833
AT3G08840,0.00167
AT3G08910,-0.08833
AT3G08980,-0.34500
AT3G09070,-0.21333
AT3G09080,0.10000
AT3G09400,0.01333
AT3G09450,-0.29000
AT3G09510,-0.05667
AT3G09580,-0.03333
AT3G09640,0.03000
AT3G09820,-0.03667
AT3G09970,-0.03333
AT3G10040,-0.25000
AT3G10050,0.17667
AT3G10120,-0.56667
AT3G10210,0.47833
AT3G10240,-0.09333
AT3G10310,-0.13667
AT3G10525,0.02333
AT3G10580,0.04833
AT3G10660,-0.04333
AT3G10920,0.02167
AT3G11090,-0.04000
AT3G11230,0.04667
AT3G11410,0.17333
AT3G11480,-0.30333
AT3G11500,0.11333
AT3G11570,-1.05667
AT3G11700,0.12333
AT3G11860,0.49333
AT3G11870,0.07333
AT3G11940,-0.02000
AT3G12410,0.10000
AT3G12530,0.12000
AT3G12750,0.11000
AT3G12775,-0.67000
AT3G12990,0.00333
AT3G13228,0.28667
AT3G13230,0.28667
AT3G13460,-0.05333
AT3G13700,-0.05000
AT3G13800,0.20333
AT3G13810,-0.06000
AT3G13970,-0.01333
AT3G14025,0.10833
AT3G14225,-0.13000
AT3G14340,0.06667
AT3G14360,0.02333
AT3G14380,0.00667
AT3G14580,-0.11667
AT3G14660,-0.18500
AT3G14720,0.01000
AT3G14780,-0.13000
AT3G14840,-0.15000
AT3G15040,0.28333
AT3G15070,0.22667
AT3G15090,-0.35667
AT3G15180,0.17500
AT3G15190,-0.08000
AT3G15380,-0.23500
AT3G15395,0.21667
AT3G15430,0.12167
AT3G15660,-0.12500
AT3G15690,0.22333
AT3G15700,-0.27333
AT3G15740,0.49000
AT3G15860,-0.42667
AT3G15890,-0.46333
AT3G16020,0.15667
AT3G16090,0.05667
AT3G16210,-0.14000
AT3G16390,0.38000
AT3G16830,0.11000
AT3G16990,0.74333
AT3G17050,-0.15667
AT3G17220,-0.09667
AT3G17250,-0.00667
AT3G17370,0.33833
AT3G17620,0.11667
AT3G17860,0.13000
AT3G17930,0.06000
AT3G17998,0.77333
AT3G18080,-0.00833
AT3G18160,0.10667
AT3G18410,-0.13500
AT3G18600,0.51000
AT3G18773,0.24667
AT3G18780,-0.39000
AT3G18827,0.00333
AT3G19045,-0.40333
AT3G19140,-0.06667
AT3G19240,-0.22833
AT3G19260,-0.21333
AT3G19320,-0.07333
AT3G19650,-0.02333
AT3G19710,-0.11667
AT3G19760,0.05667
AT3G19840,0.01000
AT3G20395,0.05333
AT3G20450,0.13000
AT3G20557,0.45333
AT3G20720,-0.10833
AT3G20790,-0.13333
AT3G20970,-0.35667
AT3G21030,0.10667
AT3G21338,-0.13000
AT3G21550,-0.10667
AT3G21650,0.02000
AT3G21710,0.07333
AT3G21720,0.19333
AT3G22057,0.25500
AT3G22090,0.24000
AT3G22121,-0.14333
AT3G22160,-0.08000
AT3G22350,1.69000
AT3G22360,-0.01667
AT3G22370,-0.03667
AT3G22492,-0.00667
AT3G22890,0.20000
AT3G23040,-0.18333
AT3G23060,0.03000
AT3G23090,-0.26000
AT3G23100,0.08000
AT3G23210,0.11667
AT3G23326,0.17333
