locus,log2FoldChange
AT1G01050,0.08333
AT1G01060,0.01000
AT1G01080,0.15667
AT1G01140,0.00667
AT1G01355,-0.16667
AT1G01370,-0.14000
AT1G01440,-0.23500
AT1G01540,-0.19333
AT1G01550,-0.01167
AT1G01580,0.29667
AT1G01600,0.23333
AT1G01810,0.07333
AT1G01930,-0.13667
AT1G02065,0.05667
AT1G02120,0.11833
AT1G02140,0.04333
AT1G02145,0.14000
AT1G02190,0.15667
AT1G02250,-0.08833
AT1G02305,0.05833
AT1G02410,-0.00000
AT1G02570,0.24333
AT1G02870,0.04333
AT1G03000,-0.09000
AT1G03010,-0.16000
AT1G03020,-0.03667
AT1G03110,0.25667
AT1G03770,0.21667
AT1G04310,0.01667
AT1G04400,0.03333
AT1G04610,0.00333
AT1G04635,0.02667
AT1G04645,0.10333
AT1G04690,-0.42000
AT1G04810,-0.14000
AT1G04900,-0.19167
AT1G04940,0.29000
AT1G05430,-0.00333
AT1G05470,0.18667
AT1G05490,-0.01000
AT1G05650,-0.20333
AT1G05770,0.09667
AT1G05800,0.14667
AT1G06010,0.04667
AT1G06210,-0.26333
AT1G06420,0.03333
AT1G06620,0.36333
AT1G06645,0.19333
AT1G06650,-0.05667
AT1G06680,-0.01667
AT1G06740,-0.34667
AT1G06820,0.31833
AT1G06890,0.01500
AT1G07070,-0.03000
AT1G07180,-0.06333
AT1G07260,-0.06000
AT1G07650,0.15833
AT1G07740,-0.37667
AT1G07745,-0.17833
AT1G07890,0.02333
AT1G07901,0.18500
AT1G07970,0.45000
AT1G07985,0.07000
AT1G08115,-0.08667
AT1G08170,-0.66000
AT1G08270,0.16000
AT1G08465,0.02667
AT1G08490,-0.20333
AT1G08660,-0.33000
AT1G08800,-0.04000
AT1G08830,0.00167
AT1G08910,-0.12667
AT1G09026,0.12000
AT1G09210,-0.27000
AT1G09380,-0.09667
AT1G09500,-0.05167
AT1G09600,-0.03667
AT1G09620,-0.09333
AT1G09630,-0.01667
AT1G09910,-0.04333
AT1G09920,0.00667
AT1G09995,-0.13667
AT1G10320,0.25333
AT1G10570,0.55000
AT1G10640,0.06667
AT1G10740,0.07000
AT1G10830,0.13167
AT1G10960,-0.00333
AT1G11330,-0.40667
AT1G11350,-0.04000
AT1G11420,-0.07333
AT1G11510,-0.15000
AT1G11610,-0.23333
AT1G12160,-0.03333
AT1G12200,-0.03333
AT1G12220,-0.07000
AT1G12340,-0.02667
AT1G12350,0.00167
AT1G12380,0.10667
AT1G12550,-0.04667
AT1G12580,0.24667
AT1G12750,0.60000
AT1G12850,0.11667
AT1G12950,-0.01667
AT1G12970,-0.26667
AT1G13210,0.15667
AT1G13310,0.02667
AT1G13340,0.01667
AT1G13448,0.24333
AT1G13608,-0.16000
